Year,month,sun_hr
1927,8,178.39999999999995
1927,9,111.3
1927,10,97.5
1927,11,54.6
1927,12,31.5
1928,1,64.9
1928,2,100.2
1928,3,92.79999999999998
1928,4,127.29999999999998
1928,5,169.79999999999998
1928,6,230.00000000000003
1928,7,276.3
1928,8,192.99999999999997
1928,9,211.99999999999997
1928,10,126.49999999999999
1928,11,72.1
1928,12,48.900000000000006
1929,1,39.49999999999999
1929,2,67.2
1929,3,184.70000000000005
1929,4,155.10000000000002
1929,5,261.0
1929,6,226.49999999999997
1929,7,243.7
1929,8,196.7
1929,9,206.0
1929,10,120.10000000000001
1929,11,77.99999999999999
1929,12,75.30000000000001
1930,1,48.800000000000004
1930,2,59.1
1930,3,123.5
1930,4,114.79999999999998
1930,5,166.30000000000004
1930,6,242.6
1930,7,194.60000000000002
1930,8,226.0
1930,9,124.99999999999999
1930,10,134.89999999999998
1930,11,76.60000000000002
1930,12,31.200000000000006
1931,1,64.8
1931,2,65.4
1931,3,153.6
1931,4,115.69999999999999
1931,5,172.60000000000002
1931,6,198.0
1931,7,157.79999999999995
1931,8,155.59999999999997
1931,9,120.60000000000002
1931,10,118.4
1931,11,68.89999999999999
1931,12,40.49999999999999
1932,1,50.50000000000001
1932,2,67.60000000000001
1932,3,144.2
1932,4,131.29999999999998
1932,5,128.4
1932,6,215.49999999999997
1932,7,136.29999999999998
1932,8,191.50000000000003
1932,9,113.2
1932,10,104.10000000000001
1932,11,47.40000000000001
1932,12,56.20000000000001
1933,1,70.4
1933,2,102.39999999999999
1933,3,196.9
1933,4,153.39999999999998
1933,5,168.2
1933,6,240.60000000000002
1933,7,246.2
1933,8,243.19999999999996
1933,9,183.30000000000004
1933,10,94.60000000000004
1933,11,51.29999999999999
1933,12,41.400000000000006
1934,1,56.89999999999999
1934,2,96.09999999999998
1934,3,127.00000000000003
1934,4,120.79999999999998
1934,5,200.8
1934,6,184.90000000000003
1934,7,274.80000000000007
1934,8,180.40000000000003
1934,9,172.6
1934,10,85.0
1934,11,45.900000000000006
1934,12,20.900000000000002
1935,1,46.7
1935,2,53.00000000000001
1935,3,134.29999999999998
1935,4,126.69999999999999
1935,5,193.79999999999998
1935,6,195.0
1935,7,280.09999999999997
1935,8,203.89999999999998
1935,9,149.89999999999998
1935,10,112.10000000000002
1935,11,61.900000000000006
1935,12,47.5
