year,month,monthly_air_temp
1962,7,14.791935483870965
1963,7,14.79516129032258
1964,7,16.430645161290318
1965,7,13.608064516129033
1966,7,14.635483870967741
1967,7,16.930645161290318
1968,7,14.977419354838707
1969,7,16.654838709677417
1970,7,15.003225806451612
1971,7,16.83225806451613
1972,7,15.524193548387096
1973,7,15.448387096774198
1974,7,15.129032258064512
1975,7,17.33709677419355
1976,7,18.572580645161295
1977,7,15.411290322580646
1978,7,14.625806451612904
1979,7,15.901612903225804
1980,7,14.343548387096773
1981,7,15.354838709677422
1982,7,16.36290322580645
1983,7,19.488709677419358
1984,7,16.467741935483872
1985,7,15.9741935483871
1986,7,15.982258064516131
1987,7,15.445161290322583
1988,7,14.472580645161292
1989,7,18.18225806451613
1990,7,16.80806451612903
1991,7,16.859677419354842
1992,7,16.533870967741933
1993,7,15.298387096774192
1994,7,18.76935483870968
1995,7,18.809677419354838
1996,7,16.685483870967737
1997,7,16.549999999999994
1998,7,15.69354838709678
1999,7,17.762903225806447
2000,7,15.30806451612903
2001,7,17.519354838709678
2002,7,16.366129032258062
2003,7,17.89516129032258
2004,7,16.33709677419355
2005,7,16.733870967741936
2006,7,20.312903225806455
2007,7,15.806451612903231
2008,7,16.575806451612905
2009,7,16.57241935483871
2010,7,17.99338709677419
2011,7,15.406435483870968
2012,7,15.728741935483873
2013,7,18.650322580645163
2014,7,18.584354838709682
2015,7,16.55459677419355
2016,7,17.48951612903226
2017,7,17.488064516129036
2018,7,19.93564516129032
2019,7,18.04766187096774
2020,7,16.683403225806455
2021,7,17.821703387096772
2022,7,19.018906080645163
2023,7,16.554107822580644
1878,8,16.862903225806452
1879,8,15.088709677419352
1880,8,16.48709677419355
1881,8,14.298387096774198
1882,8,15.024193548387098
1883,8,15.530645161290327
1884,8,17.059677419354838
1885,8,13.732258064516131
1886,8,16.164516129032258
1887,8,15.719354838709675
1888,8,14.498387096774195
1889,8,15.122580645161289
1890,8,14.459677419354836
1891,8,14.391935483870967
1892,8,15.31935483870968
1893,8,17.404838709677424
1894,8,14.63709677419355
1895,8,15.998387096774197
1896,8,14.399999999999997
1897,8,16.283870967741933
1898,8,16.766129032258068
1899,8,17.78225806451613
1900,8,15.60483870967742
1901,8,16.085483870967742
1902,8,14.596774193548386
1903,8,14.259677419354835
1904,8,15.374193548387094
1905,8,14.833870967741934
1906,8,17.175806451612907
1907,8,14.675806451612903
1908,8,14.608064516129033
1909,8,15.448387096774196
1910,8,15.293548387096775
1911,8,18.588709677419352
1912,8,13.161290322580646
1913,8,15.37741935483871
1914,8,16.269354838709674
1915,8,15.39032258064516
1916,8,16.299999999999997
1917,8,15.253225806451612
1918,8,16.103225806451615
1919,8,16.270967741935483
1920,8,13.290322580645162
1921,8,16.049999999999997
1922,8,13.370967741935488
